Modelname,Mu1_OG2,Alpha1_OG2,Mu2_OG2,Alpha1_OG2,Initialguesses,bounds,rmse,bic,filename,Publicationlink,Notes,Category
Ogden2,14,13,30.01,11.03,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,9,18,22.16,17.43,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,10,2,30.05,16,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,21,6,18.37,1.13,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,17,2,33.19,14.12,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,6,8,32.96,1.41,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,16,10,41.26,19.96,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,48,18,20.74,15.79,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,1,10,2.84,5.01,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,19,1,49.25,10.06,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,36,5,22.96,15.01,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,25,18,46.94,16.88,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,30,17,33.93,4.96,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,20,4,14.07,3.11,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,20,11,28.64,18.66,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
Ogden2,15,2,47.89,13.58,"1, ,, 1, ,, 1, ,, 1",unbounded,0.149,-1161.766,updated_file11.csv,Placeholderlink,Notes,Biomaterial
